delete_index,value,time_ns,operations
755,70361,1400,76
756,75349,1000,64
757,43977,1000,68
758,1539,1200,70
759,5637,1100,68
760,91724,1000,66
761,35099,1000,64
762,56212,1200,75
763,99483,1100,65
764,82953,900,59
765,99630,800,64
766,6364,1100,66
767,2606,1000,61
768,63339,1000,68
769,76730,1000,64
770,79684,800,66
771,2601,1400,77
772,99390,1000,64
773,99755,1100,67
774,73067,1200,73
775,95017,1500,77
776,70929,1400,74
777,62660,1200,75
778,78467,900,66
779,81909,1000,59
780,7685,1000,69
781,87536,1400,74
782,89849,900,66
783,36666,1100,65
784,50210,1000,71
785,51751,800,64
786,69299,14600,69
787,70599,1000,64
788,32580,1100,68
789,74169,1200,69
790,91218,1400,74
791,40066,1000,74
792,45362,1300,70
793,84282,1100,69
794,86743,900,64
795,31974,800,64
796,96367,1500,75
797,93482,800,64
798,85730,1000,69
799,85946,1000,64
800,46505,1100,75
801,50271,800,54
802,63029,1300,74
803,18606,2500,68
804,21391,1100,72
805,61970,1000,74
806,3191,900,64
807,32052,800,61
808,34816,1300,66
809,88803,1300,75
810,20660,1000,71
811,16441,1400,76
812,41503,900,66
813,87114,1700,78
814,88226,1200,68
815,42655,1000,69
816,11682,900,64
817,8315,1200,69
818,10206,800,66
819,54264,800,66
820,50697,1400,69
821,80853,1100,70
822,32501,1000,69
823,85953,900,64
824,8555,1200,68
825,60071,1000,64
826,42815,1200,64
827,121,1200,68
828,19948,900,64
829,87871,1000,74
830,62597,800,59
831,9148,1000,64
832,66220,900,69
833,60209,800,61
834,97859,900,61
835,70848,1000,68
836,13241,1200,78
837,52000,1000,68
838,50601,1300,67
839,33611,1500,74
840,82500,1400,74
841,56172,900,56
842,8091,900,58
843,33935,900,64
844,41745,900,59
845,54328,900,66
846,75480,1300,80
847,36739,1000,68
848,64904,900,59
849,48342,1200,73
850,4408,1000,59
851,96160,1300,79
852,72552,1300,73
853,31538,1100,61
854,65391,900,64
855,62485,1000,68
856,43291,800,61
857,95992,1100,77
858,47374,1700,79
859,78663,1200,73
860,25253,1000,64
861,2371,800,64
862,59016,900,66
863,63144,900,59
864,78646,900,69
865,6050,1400,70
866,40850,1000,66
867,65650,1100,70
868,79167,1300,65
869,7817,1200,70
870,30980,800,59
871,58529,1000,69
872,52929,1200,63
873,85906,1200,74
874,84284,800,61
875,78826,800,59
876,97697,900,61
877,71437,1500,64
878,32226,800,59
879,6364,1200,73
880,32503,2400,73
881,89099,1000,64
882,46085,1200,78
883,32882,1200,70
884,9318,1200,68
885,47203,1100,64
886,62756,1100,71
887,33585,800,66
888,97606,1000,61
889,90304,1100,75
890,75722,4600,79
891,15492,1100,74
892,21949,6000,68
893,51623,1200,69
894,17392,1700,73
895,16082,1000,69
896,73164,1000,63
897,16648,1000,75
898,37478,1200,73
899,121,800,59
900,95077,1500,70
901,23104,900,68
902,62445,900,69
903,50217,900,72
904,74362,1000,68
905,6121,1100,64
906,38555,1000,63
907,14399,800,69
908,6833,900,66
909,98111,1100,74
910,36865,900,69
911,43836,1200,76
912,67957,900,64
913,30191,800,61
914,86762,1300,68
915,35330,900,69
916,71398,1100,61
917,18142,800,59
918,55129,900,68
919,33483,900,69
920,15343,1100,61
921,15827,800,69
