index,value,time_ns,operations
571,25842,1000,34
572,15,1000,38
573,5889,1100,38
574,16044,1100,36
575,25649,1300,40
576,60514,1100,42
577,36282,1100,42
578,96863,1300,44
579,51854,4900,44
580,90516,11500,38
581,92170,1200,42
582,15350,900,30
583,8551,1300,40
584,30794,900,34
585,97064,1000,42
586,10956,1300,41
587,33543,1300,48
588,89026,800,38
589,65583,15600,42
590,2777,2200,44
591,51645,1300,44
592,86715,1500,45
593,26443,900,34
594,90572,1100,42
595,82424,1200,44
596,41262,1600,49
597,74493,900,38
598,55282,1200,40
599,17089,1600,45
600,45946,800,34
601,33259,1100,38
602,85043,1600,49
603,76533,900,38
604,55805,800,34
605,48935,1200,44
606,61435,800,34
607,35678,900,38
608,92798,800,34
609,38682,1400,44
610,62806,700,34
611,66829,800,38
612,14503,600,38
613,67629,1100,40
614,92373,1600,49
615,92821,1300,45
616,91473,700,42
617,21268,700,38
618,56973,1200,37
619,26375,1300,44
620,10199,900,42
621,75128,1400,41
622,5822,8200,48
623,16262,900,38
624,34317,900,34
625,99007,1300,44
626,65553,1400,44
627,42790,1300,44
628,69641,1600,45
629,34137,1100,40
630,35451,1500,45
631,12838,1000,42
632,66399,1400,41
633,98922,4800,45
634,10078,1000,42
635,63943,1600,41
636,98794,1300,44
637,5391,1000,42
638,95759,1100,42
639,66568,900,38
640,33446,1300,44
641,74959,1000,38
642,4690,1300,48
643,66048,1500,45
644,54907,800,34
645,60927,900,38
646,51233,1600,45
647,67959,900,34
648,80788,1300,41
649,22578,900,38
650,79372,1300,44
651,63040,900,34
652,6510,1600,49
653,5276,900,42
654,61818,1000,38
655,45207,900,38
656,43084,1400,44
657,11809,1000,42
658,42221,1000,42
659,22035,700,38
660,73319,900,38
661,75806,900,38
662,20580,700,38
663,50729,1500,45
664,61698,1500,45
665,13267,900,42
666,85370,1000,42
667,42109,1200,48
668,52187,1000,38
669,29100,1100,48
670,14155,1200,44
671,7461,1000,40
672,56190,900,34
673,79083,1500,45
674,9111,1200,44
675,68732,800,38
676,89428,900,38
677,87028,1400,45
678,75423,1600,45
679,31071,800,38
680,3768,1100,46
681,71061,2500,44
682,29389,2200,48
683,56999,900,34
684,6186,1100,46
685,24431,800,38
686,26192,800,38
687,59940,1400,41
688,60861,1500,45
689,50085,1100,44
690,9828,1000,42
691,531,1000,42
692,18987,1400,45
693,75712,1200,44
694,35024,1400,41
695,63484,1000,40
696,6056,1300,52
697,28668,900,38
698,63113,1100,40
699,76138,900,38
700,3795,1400,53
701,21587,900,38
702,83732,1300,48
703,34567,800,38
704,41449,900,38
705,29988,1300,44
706,54281,900,38
707,92020,1300,48
708,97556,5000,42
709,97856,1000,42
710,7859,900,38
711,97218,800,42
712,78049,1300,44
713,47825,1500,45
714,89107,1500,45
715,49104,800,38
716,71471,1100,40
717,80550,900,42
718,13861,1600,38
719,41281,1500,48
720,49795,800,38
721,47935,1400,45
722,56442,800,34
723,24409,1500,45
724,28345,900,42
725,45618,1400,41
726,21508,1000,42
727,2196,1300,48
728,8980,1100,44
729,11544,900,42
730,12304,900,42
731,55555,800,34
732,32471,1600,45
733,7768,1300,44
734,7790,1300,45
735,25988,900,38
736,10732,800,42
737,41613,1500,45
738,91628,1000,42
739,9788,1200,48
740,47137,1400,45
741,73974,900,38
742,1248,900,42
743,72980,1700,45
744,83699,1400,48
745,6682,1600,53
746,28388,1100,49
747,52749,900,42
748,99778,1100,42
749,98549,1300,44
750,97596,1400,48
751,38754,1000,38
752,93156,800,42
753,73316,1300,44
754,77203,1200,40
755,70361,1600,45
756,75349,1000,42
757,43977,900,38
758,1539,1000,46
759,5637,1200,48
760,91724,1400,48
761,35099,600,38
762,56212,1100,41
763,99483,700,42
764,82953,800,42
765,99630,900,48
766,6364,900,46
767,2606,600,42
768,63339,1000,36
769,76730,700,38
770,79684,800,38
771,2601,1200,49
772,99390,2100,49
773,99755,1000,48
774,73067,1000,44
775,95017,800,42
776,70929,600,38
777,62660,1000,36
778,78467,700,42
779,81909,700,38
780,7685,700,38
781,87536,800,38
782,89849,1300,45
783,36666,700,34
784,50210,1400,45
785,51751,1000,40
786,69299,1300,41
787,70599,800,38
788,32580,1200,45
789,74169,700,38
790,91218,1300,49
791,40066,800,38
792,45362,800,38
793,84282,1400,49
794,86743,700,42
795,31974,700,38
796,96367,900,42
797,93482,900,42
798,85730,600,30
799,85946,800,42
800,46505,800,34
801,50271,1400,45
802,63029,900,40
803,18606,800,38
804,21391,1100,44
805,61970,700,38
806,3191,700,42
807,32052,800,42
808,34816,1200,45
809,88803,800,42
810,20660,1100,44
811,16441,900,44
812,41503,900,42
813,87114,1500,42
814,88226,800,38
815,42655,700,42
816,11682,1300,49
817,8315,800,42
818,10206,1100,48
819,54264,700,42
820,50697,700,38
821,80853,1000,42
822,32501,800,42
823,85953,1300,49
824,8555,700,42
825,60071,1300,45
826,42815,800,42
827,121,1300,49
828,19948,700,42
829,87871,600,38
830,62597,700,38
831,9148,900,46
832,66220,800,38
833,60209,1200,45
834,97859,1000,48
835,70848,1000,44
836,13241,1300,49
837,52000,3100,38
838,50601,1500,45
839,33611,1300,45
840,82500,700,34
841,56172,800,42
842,8091,900,42
843,33935,700,34
844,41745,800,42
845,54328,900,42
846,75480,800,42
847,36739,1100,38
848,64904,900,46
849,48342,1100,44
850,4408,700,46
851,96160,900,38
852,72552,700,34
853,31538,700,42
854,65391,1400,53
855,62485,1000,48
856,43291,1100,44
857,95992,1300,45
858,47374,1400,45
859,78663,1400,49
860,25253,900,42
861,2371,700,46
862,59016,800,38
863,63144,700,38
864,78646,1200,48
865,6050,2800,53
866,40850,900,42
867,65650,1000,46
868,79167,1400,49
869,7817,800,42
870,30980,1100,42
871,58529,1300,44
872,52929,1400,48
873,85906,900,38
874,84284,4300,45
